instance,source,local,sha256,present,pool,base_commit,n_edits,action_local,result_files,applied_events,original_local,original_sha256,cleared_credential_fields
django__django-15731,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/django__django-15731/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__django__django-15731/trajectory.json,40ba9328a8a86b6e08325ef9825ae03b89c21b2a7133e0db787b74395be36ef7,True,claude/linear,93cedc82f29076c824d476354527af1150888e4f,2,paper/figure-09/data/inputs/war/claude_linear__django__django-15731/claude_linear__django__django-15731.json,3,6,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/django__django-15731/trajectory.json,d4e6b84e3f87a1b57c9f7dbfffb0a38d5175313d6b4872e2304ff252a7dffc96,8
django__django-16429,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/django__django-16429/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__django__django-16429/trajectory.json,5ca8517b505cbb8e0d9c3acf218c7d77768ee0c5281265c02898f2c6821c6d25,True,claude/linear,6c86495bcee22eac19d7fb040b2988b830707cbd,3,paper/figure-09/data/inputs/war/claude_linear__django__django-16429/claude_linear__django__django-16429.json,3,9,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/django__django-16429/trajectory.json,1cc325468fc3989be95948065ff811caf3735257a4aedff5f7fda8f174a1f2b0,12
django__django-16569,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/django__django-16569/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__django__django-16569/trajectory.json,087fe568f498b8756caa7fcdf4f5375af23e2814db1099183fc67343ec0a1a35,True,claude/linear,278881e37619278789942513916acafaa88d26f3,1,paper/figure-09/data/inputs/war/claude_linear__django__django-16569/claude_linear__django__django-16569.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/django__django-16569/trajectory.json,70790d6251c532954e3df955ee459cd1d8bd7d5e03ee16173b2aedb558685695,6
django__django-17029,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/django__django-17029/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__django__django-17029/trajectory.json,af1c1da4a3ab69ba7d6393cc485862c892a33a0faa800dd19bfb699240a9f3d2,True,claude/linear,953f29f700a60fc09b08b2c2270c12c447490c6a,1,paper/figure-09/data/inputs/war/claude_linear__django__django-17029/claude_linear__django__django-17029.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/django__django-17029/trajectory.json,49a21459ac8434b89ac5d42b7680c5b98c0bfd5a61446d317624466564edacfb,6
matplotlib__matplotlib-20859,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/matplotlib__matplotlib-20859/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__matplotlib__matplotlib-20859/trajectory.json,f1209aa6d7eb9809b632064de93dc1304f69715309ef9850334cab450544a1b3,True,claude/linear,64619e53e9d0ed417daba287ac0d3a06943a54d5,2,paper/figure-09/data/inputs/war/claude_linear__matplotlib__matplotlib-20859/claude_linear__matplotlib__matplotlib-20859.json,3,6,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/matplotlib__matplotlib-20859/trajectory.json,74bced633efbfb307ddb70503fa21fcff08a2cd2bd31e84106e4fcec89e6bd6b,8
matplotlib__matplotlib-25122,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/matplotlib__matplotlib-25122/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__matplotlib__matplotlib-25122/trajectory.json,d3fd6ab2ab84a278d562213ac388f5b7f31e259fc7b3e4b4e043f874622c93c2,True,claude/linear,5ec2bd279729ff534719b8bf238dbbca907b93c5,2,paper/figure-09/data/inputs/war/claude_linear__matplotlib__matplotlib-25122/claude_linear__matplotlib__matplotlib-25122.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/matplotlib__matplotlib-25122/trajectory.json,ef29410fdf6d7e9af49a2cb3db2c2860c3b395481c2782096a984e331b904fc2,9
matplotlib__matplotlib-26113,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/matplotlib__matplotlib-26113/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__matplotlib__matplotlib-26113/trajectory.json,b9e215a2f611ca431cc096684d0f3a5f45f6425aec210e1f82ac74baf4e93bdf,True,claude/linear,5ca694b38d861c0e24cd8743753427dda839b90b,2,paper/figure-09/data/inputs/war/claude_linear__matplotlib__matplotlib-26113/claude_linear__matplotlib__matplotlib-26113.json,3,6,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/matplotlib__matplotlib-26113/trajectory.json,acc28f006b2b7549cadea8865f5bb6fe84d941ce55ef097ca16a3e9b0445fd0a,9
pydata__xarray-2905,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/pydata__xarray-2905/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__pydata__xarray-2905/trajectory.json,0e2bb51547ca3d8b9e15b45b3b7071e48ccb5366ff978cb146ae9ccfbd0f777c,True,claude/linear,7c4e2ac83f7b4306296ff9b7b51aaf016e5ad614,3,paper/figure-09/data/inputs/war/claude_linear__pydata__xarray-2905/claude_linear__pydata__xarray-2905.json,3,9,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/pydata__xarray-2905/trajectory.json,562ec49b1ce2f56adaa550d8d0bbd63f3c746ab0573cc661416557eebca2e004,14
pydata__xarray-3677,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/pydata__xarray-3677/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__pydata__xarray-3677/trajectory.json,a01b7f96899babc3c6351cdf767edef6251191117891598981fafd4e15d788ef,True,claude/linear,ef6e6a7b86f8479b9a1fecf15ad5b88a2326b31e,1,paper/figure-09/data/inputs/war/claude_linear__pydata__xarray-3677/claude_linear__pydata__xarray-3677.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/pydata__xarray-3677/trajectory.json,8a0fa2073b2f0c51e1cc970285f2388e57156c02b362cd795649489c52c19065,6
pydata__xarray-4356,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/pydata__xarray-4356/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__pydata__xarray-4356/trajectory.json,650efca3b2ffca884a3dab083b43d88ec37e37b43c6bbfde078eb57690fb2ce6,True,claude/linear,e05fddea852d08fc0845f954b79deb9e9f9ff883,1,paper/figure-09/data/inputs/war/claude_linear__pydata__xarray-4356/claude_linear__pydata__xarray-4356.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/pydata__xarray-4356/trajectory.json,8183efa6753649293014d41d1bf840c797c45555eff0bbe532a9ba492ec8e98a,7
pydata__xarray-4629,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/pydata__xarray-4629/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__pydata__xarray-4629/trajectory.json,41d193e527e0e600a003475917b8b7d805f087a7f606d89ce59b4d7ee65baba6,True,claude/linear,a41edc7bf5302f2ea327943c0c48c532b12009bc,1,paper/figure-09/data/inputs/war/claude_linear__pydata__xarray-4629/claude_linear__pydata__xarray-4629.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/pydata__xarray-4629/trajectory.json,546b6fdb09b6e2a4102f66aef0b09f63445825b694eeadf09f6b06265f32d9b9,6
pydata__xarray-4966,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/pydata__xarray-4966/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__pydata__xarray-4966/trajectory.json,73ddf5cac1a68511fee31baf80cdd42bb000217736cdf63eec4ab2a45cb666a0,True,claude/linear,37522e991a32ee3c0ad1a5ff8afe8e3eb1885550,1,paper/figure-09/data/inputs/war/claude_linear__pydata__xarray-4966/claude_linear__pydata__xarray-4966.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/pydata__xarray-4966/trajectory.json,ff72f99517742cd2bb2dba71b7645261b436b3d1e7ab92b36eabffa41c80fafe,6
pylint-dev__pylint-6903,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/pylint-dev__pylint-6903/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__pylint-dev__pylint-6903/trajectory.json,8438d6bd47b5fe89885eb2bd406a132fbc7ffc7009c39d5bee293c2b1f08a8d6,True,claude/linear,ca80f03a43bc39e4cc2c67dc99817b3c9f13b8a6,1,paper/figure-09/data/inputs/war/claude_linear__pylint-dev__pylint-6903/claude_linear__pylint-dev__pylint-6903.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/pylint-dev__pylint-6903/trajectory.json,bf3083cf9ee7969c4c4533122177811689f69a6cf3aa37159cd8d8dfb9277cb6,6
pylint-dev__pylint-7277,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/pylint-dev__pylint-7277/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__pylint-dev__pylint-7277/trajectory.json,309a96918025e6517edecde011b17034093d736057277633c07dcbca493e4b73,True,claude/linear,684a1d6aa0a6791e20078bc524f97c8906332390,1,paper/figure-09/data/inputs/war/claude_linear__pylint-dev__pylint-7277/claude_linear__pylint-dev__pylint-7277.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/pylint-dev__pylint-7277/trajectory.json,1ae45ecdc005af4dde77881276ac0a20a1e70491387cb7e4b6842446cbd20600,6
pytest-dev__pytest-10051,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/pytest-dev__pytest-10051/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__pytest-dev__pytest-10051/trajectory.json,d33a632fc4d1d51e6a445be4652e29115ee6630edf259ba753df4c1b182b97c8,True,claude/linear,aa55975c7d3f6c9f6d7f68accc41bb7cadf0eb9a,2,paper/figure-09/data/inputs/war/claude_linear__pytest-dev__pytest-10051/claude_linear__pytest-dev__pytest-10051.json,3,6,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/pytest-dev__pytest-10051/trajectory.json,5d8b36c8804996c4fde5aefd01ece18949114cbef25e7255363ee2e69f4bb748,9
pytest-dev__pytest-5631,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/pytest-dev__pytest-5631/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__pytest-dev__pytest-5631/trajectory.json,a8704ed7f89d1c63f32a5d36becb1f0df275d002f156ce3048254c5aeb05a461,True,claude/linear,cb828ebe70b4fa35cd5f9a7ee024272237eab351,1,paper/figure-09/data/inputs/war/claude_linear__pytest-dev__pytest-5631/claude_linear__pytest-dev__pytest-5631.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/pytest-dev__pytest-5631/trajectory.json,45644c915a6741a873fab649b406700b5419b491cf728ccd739620d5d7beb1d1,6
pytest-dev__pytest-5809,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/pytest-dev__pytest-5809/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__pytest-dev__pytest-5809/trajectory.json,d8076409a0eb27586849d96a1ad042620b0e659fe2cfff3cd070b85b6eb178ab,True,claude/linear,8aba863a634f40560e25055d179220f0eefabe9a,1,paper/figure-09/data/inputs/war/claude_linear__pytest-dev__pytest-5809/claude_linear__pytest-dev__pytest-5809.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/pytest-dev__pytest-5809/trajectory.json,2c47f72ab6bcd54dac9d1d97cff39265e2cd23c89743366ec22d1ea28eaf447f,6
pytest-dev__pytest-6202,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/pytest-dev__pytest-6202/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__pytest-dev__pytest-6202/trajectory.json,b0f6820011a917aea9bda4653408195568180f904f9bf992bc34276959d9fcc7,True,claude/linear,3a668ea6ff24b0c8f00498c3144c63bac561d925,1,paper/figure-09/data/inputs/war/claude_linear__pytest-dev__pytest-6202/claude_linear__pytest-dev__pytest-6202.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/pytest-dev__pytest-6202/trajectory.json,2dd36b205f15b3e1b5c231da6baa6110a1cb9927fda860358407f38d7012d973,6
pytest-dev__pytest-7205,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/pytest-dev__pytest-7205/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__pytest-dev__pytest-7205/trajectory.json,b4ee21689048db90c9486c3652729d3df13d784710116b8620379314f0f7a1f4,True,claude/linear,5e7f1ab4bf58e473e5d7f878eb2b499d7deabd29,1,paper/figure-09/data/inputs/war/claude_linear__pytest-dev__pytest-7205/claude_linear__pytest-dev__pytest-7205.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/pytest-dev__pytest-7205/trajectory.json,ddc3ca5f20ec1c3938e67589adf33790721a83c943c3fc07a571c1c6c30d3d4f,6
scikit-learn__scikit-learn-12973,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/scikit-learn__scikit-learn-12973/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__scikit-learn__scikit-learn-12973/trajectory.json,28510e697c1f0ab4f74804efbd40ff27cd69bb0535c9dffa3bfc033ed736ed87,True,claude/linear,a7b8b9e9e16d4e15fabda5ae615086c2e1c47d8a,2,paper/figure-09/data/inputs/war/claude_linear__scikit-learn__scikit-learn-12973/claude_linear__scikit-learn__scikit-learn-12973.json,3,6,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/scikit-learn__scikit-learn-12973/trajectory.json,9cfd477d6fb57a9d8c99c2939b5023f65443ff3bea6c47e3cbb4963f8d985a63,8
scikit-learn__scikit-learn-13135,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/scikit-learn__scikit-learn-13135/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__scikit-learn__scikit-learn-13135/trajectory.json,1c3c2f9d93f170a9c996ac9998e40060ba04755e8d2300757ededb2c9975afba,True,claude/linear,a061ada48efccf0845acae17009553e01764452b,2,paper/figure-09/data/inputs/war/claude_linear__scikit-learn__scikit-learn-13135/claude_linear__scikit-learn__scikit-learn-13135.json,3,6,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/scikit-learn__scikit-learn-13135/trajectory.json,b363b6d32cdc34f54972e88afdac3fd3d90a9f7d03cc5e85d0be4f4462596239,9
scikit-learn__scikit-learn-14629,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/scikit-learn__scikit-learn-14629/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__scikit-learn__scikit-learn-14629/trajectory.json,4229b756182634a2b5d90b81f52081b77ffbf04b9586e2c9e5b01f907a9a2a4b,True,claude/linear,4aded39b5663d943f6a4809abacfa9cae3d7fb6a,1,paper/figure-09/data/inputs/war/claude_linear__scikit-learn__scikit-learn-14629/claude_linear__scikit-learn__scikit-learn-14629.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/scikit-learn__scikit-learn-14629/trajectory.json,5e8e3f6fab89c23ba8ee8eb37b847897a394f3f5e144ac2854f4c9b740564ae8,6
scikit-learn__scikit-learn-14710,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/scikit-learn__scikit-learn-14710/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__scikit-learn__scikit-learn-14710/trajectory.json,eec8ff6498720da8e0af45517f83bfaeda3d4fbe0ff824457cca9dc25990b338,True,claude/linear,4b6273b87442a4437d8b3873ea3022ae163f4fdf,1,paper/figure-09/data/inputs/war/claude_linear__scikit-learn__scikit-learn-14710/claude_linear__scikit-learn__scikit-learn-14710.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/scikit-learn__scikit-learn-14710/trajectory.json,1bb6d33db6e9d6c32674c08084909e232f31c32fe41d7355f645bf9f4955fc3b,6
scikit-learn__scikit-learn-25931,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/scikit-learn__scikit-learn-25931/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__scikit-learn__scikit-learn-25931/trajectory.json,36cc3b9f5415024a1b08c6f914faca847b85d20763ef10fb6183217494e0d390,True,claude/linear,e3d1f9ac39e4bf0f31430e779acc50fb05fe1b64,2,paper/figure-09/data/inputs/war/claude_linear__scikit-learn__scikit-learn-25931/claude_linear__scikit-learn__scikit-learn-25931.json,3,6,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/scikit-learn__scikit-learn-25931/trajectory.json,eaba72b16443b773df13cb53cde44db270d4e54b7282b34fd0356fce9509855a,10
scikit-learn__scikit-learn-26323,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/scikit-learn__scikit-learn-26323/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__scikit-learn__scikit-learn-26323/trajectory.json,33063f8c66ae84e180bf0fa7d6c671fda52f8a8f398db7a595dcc4c5c9f0a6b6,True,claude/linear,586f4318ffcdfbd9a1093f35ad43e81983740b66,2,paper/figure-09/data/inputs/war/claude_linear__scikit-learn__scikit-learn-26323/claude_linear__scikit-learn__scikit-learn-26323.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/scikit-learn__scikit-learn-26323/trajectory.json,b81609556b4c4e74cda1989c36dcc51078f6b5393fef49fdb30a7c2f4569c38e,9
sympy__sympy-13091,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/sympy__sympy-13091/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__sympy__sympy-13091/trajectory.json,d7f9f59c03926530c97aecdd766f669191d67365556f9b2358333bea476507e3,True,claude/linear,d1320814eda6549996190618a21eaf212cfd4d1e,3,paper/figure-09/data/inputs/war/claude_linear__sympy__sympy-13091/claude_linear__sympy__sympy-13091.json,3,9,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/sympy__sympy-13091/trajectory.json,a1148668ac4755681dd1b27d6d4b66cd3b4a116b2a2534db2e359863d0f77349,11
sympy__sympy-13372,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/sympy__sympy-13372/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__sympy__sympy-13372/trajectory.json,020a6008c3342a45dbb93549f2f80400d436340ba3286f246d1a4f64199edcbd,True,claude/linear,30379ea6e225e37833a764ac2da7b7fadf5fe374,2,paper/figure-09/data/inputs/war/claude_linear__sympy__sympy-13372/claude_linear__sympy__sympy-13372.json,3,6,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/sympy__sympy-13372/trajectory.json,c00a2cf4d9f3b8c93f6b50f059688c6831fd9423adb76e3558e9158cfa6d4b3e,9
